source,translated,context
Capability,صلاحية,
Capability Bundle,حزمة صلاحيات,
Capability Bundle Item,عنصر حزمة صلاحيات,
Capability Policy,سياسة صلاحيات,
Capability Prerequisite,متطلب مسبق للصلاحية,
Capability Rate Limit,حد معدل الصلاحية,
Capability Request,طلب صلاحية,
Capability Snapshot,لقطة صلاحيات,
CAPS Audit Log,سجل تدقيق CAPS,
CAPS Settings,إعدادات CAPS,
CAPS Integration Pack,حزمة تكامل CAPS,
CAPS Site Profile,ملف تعريف موقع CAPS,
Action Capability Map,خريطة صلاحيات الإجراءات,
Field Capability Map,خريطة صلاحيات الحقول,
Permission Group,مجموعة الأذونات,
Permission Group Bundle,حزمة مجموعة الأذونات,
Permission Group Capability,صلاحية مجموعة الأذونات,
Permission Group Member,عضو مجموعة الأذونات,
Role Capability Map,خريطة صلاحيات الأدوار,
Role Capability Item,عنصر صلاحية الدور,
Role Capability Bundle,حزمة صلاحيات الدور,
User Capability,صلاحية المستخدم,
User Capability Bundle,حزمة صلاحيات المستخدم,
User Capability Item,عنصر صلاحية المستخدم,
Hierarchy,التسلسل الهرمي,
Details,التفاصيل,
Prerequisites,المتطلبات المسبقة,
Capabilities,الصلاحيات,
Target,الهدف,
Grant,المنح,
Schedule,الجدولة,
Request Details,تفاصيل الطلب,
Resolution,القرار,
Resolved Capabilities,الصلاحيات المحلّلة,
Metadata,البيانات الوصفية,
Context,السياق,
General,عام,
Cache Settings,إعدادات التخزين المؤقت,
Audit Settings,إعدادات التدقيق,
Resolution Behaviour,سلوك القرار,
Expiry Notifications,إشعارات انتهاء الصلاحية,
Delegation,التفويض,
Advanced Notifications & Groups,الإشعارات المتقدمة والمجموعات,
Description,الوصف,
Configuration,التهيئة,
Capability Configuration,تهيئة الصلاحيات,
Usage Limits,حدود الاستخدام,
Scope & Notifications,النطاق والإشعارات,
Advanced,متقدم,
Direct Capabilities,صلاحيات مباشرة,
Bundles,الحزم,
Members,الأعضاء,
Management,الإدارة,
Capability Name,اسم الصلاحية,
Label,التسمية,
Category,الفئة,
Scope DocType,نوع المستند المستهدف,
Scope Field,الحقل المستهدف,
Scope Action,الإجراء المستهدف,
Parent Capability,الصلاحية الأصل,
Is Active,فعّال,
Is Delegatable,قابل للتفويض,
App Name,اسم التطبيق,
Is Template,قالب,
Policy Name,اسم السياسة,
Priority,الأولوية,
Target Type,نوع الهدف,
Target Role,الدور المستهدف,
Target Department,القسم المستهدف,
Target Users,المستخدمون المستهدفون,
Bundle,الحزمة,
Grant Type,نوع المنح,
Starts On,يبدأ في,
Ends On,ينتهي في,
Prerequisite Capability,الصلاحية المتطلبة مسبقاً,
Hard Prerequisite,متطلب مسبق صارم,
Is Mandatory,إلزامي,
Required Capability,الصلاحية المطلوبة,
Fallback Behavior,السلوك البديل,
Fallback Message,رسالة الاحتياط,
DocType,نوع المستند,
Action ID,معرّف الإجراء,
Action Type,نوع الإجراء,
Field Name,اسم الحقل,
Field Label,تسمية الحقل,
Behavior When Missing,السلوك عند الغياب,
Mask Pattern,نمط الإخفاء,
Custom Handler,المعالج المخصص,
Group Type,نوع المجموعة,
Sync Source,مصدر المزامنة,
Sync Query,استعلام المزامنة,
Sync Frequency,تردد المزامنة,
Auto Sync,مزامنة تلقائية,
Parent Group,المجموعة الأصل,
Managed By,يُدار بواسطة,
Manager Can Add Members,يمكن للمدير إضافة أعضاء,
Manager Can Assign Bundles,يمكن للمدير تعيين حزم,
Requesting User,المستخدم مقدم الطلب,
Status,الحالة,
Reason,السبب,
Approver,الموافق,
Resolution Note,ملاحظة القرار,
Resolved On,تم الحل في,
Grant Expires On,تنتهي صلاحية المنح في,
User,المستخدم,
Snapshot Date,تاريخ اللقطة,
Created By,أنشئ بواسطة,
Capabilities (JSON),الصلاحيات (JSON),
Source,المصدر,
Notes,ملاحظات,
Action,الإجراء,
Result,النتيجة,
Target User,المستخدم المستهدف,
Target Group,المجموعة المستهدفة,
Timestamp,الطابع الزمني,
IP Address,عنوان IP,
Enable CAPS,تفعيل CAPS,
Debug Mode,وضع التصحيح,
CAPS Version,إصدار CAPS,
User Cache TTL (seconds),مدة تخزين المستخدم المؤقت (بالثواني),
Field/Action Map Cache TTL (seconds),مدة تخزين خرائط الحقول/الإجراءات المؤقت (بالثواني),
Audit Log Retention (days),مدة الاحتفاظ بسجل التدقيق (بالأيام),
Enable Audit Logging,تفعيل سجل التدقيق,
Administrator Bypass,تجاوز المدير العام,
Guest Empty Set,مجموعة فارغة للضيوف,
Expiry Warning (days),تنبيه الانتهاء (بالأيام),
Enable Expiry Notifications,تفعيل إشعارات الانتهاء,
Enable Delegation,تفعيل التفويض,
Require Delegation Reason,إلزام سبب التفويض,
Notify on Capability Change,إشعار عند تغيير الصلاحيات,
Email on Request Submission,بريد عند تقديم طلب,
Enable Admin Digest,تفعيل ملخص المدير,
Enable Group Hierarchy,تفعيل التسلسل الهرمي للمجموعات,
Pack Name,اسم الحزمة,
Target App,التطبيق المستهدف,
Version,الإصدار,
Installed,مُثبّت,
Pack Configuration JSON,JSON تهيئة الحزمة,
Configuration JSON,JSON التهيئة,
Site Name,اسم الموقع,
Site URL,رابط الموقع,
Active,فعّال,
Last Sync,آخر مزامنة,
Notify on Limit Reached,إشعار عند بلوغ الحد,
Max Per Hour,الحد الأقصى في الساعة,
Max Per Day,الحد الأقصى في اليوم,
Max Per Week,الحد الأقصى في الأسبوع,
Max Per Month,الحد الأقصى في الشهر,
Scope,النطاق,
Role,الدور,
Granted By,مُنح بواسطة,
Granted On,تاريخ المنح,
Expires On,تنتهي في,
Delegated By,فُوّض بواسطة,
Added By,أُضيف بواسطة,
Added On,تاريخ الإضافة,
Valid From,صالح من,
Valid Till,صالح حتى,
Full Name,الاسم الكامل,
Field,حقل,
Workflow,سير العمل,
Report,تقرير,
API,واجهة برمجية,
Module,وحدة,
Custom,مخصص,
Pending,قيد الانتظار,
Approved,تمت الموافقة,
Rejected,مرفوض,
Cancelled,ملغي,
Low,منخفض,
Medium,متوسط,
High,مرتفع,
Department,القسم,
User List,قائمة المستخدمين,
Manual,يدوي,
Department Sync,مزامنة القسم,
Branch Sync,مزامنة الفرع,
Custom Query,استعلام مخصص,
Realtime,فوري,
Hourly,كل ساعة,
Daily,يومي,
Per User,لكل مستخدم,
Global,عام,
hide,إخفاء,
read_only,للقراءة فقط,
mask,إخفاء جزئي,
custom,مخصص,
disable,تعطيل,
redirect,إعادة توجيه,
button,زر,
menu_item,عنصر قائمة,
workflow_action,إجراء سير العمل,
print_format,تنسيق الطباعة,
manual,يدوي,
scheduled,مجدول,
allowed,مسموح,
denied,مرفوض,
Dashboard,لوحة القيادة,
Graph,الرسم البياني,
Compare,مقارنة,
Groups,المجموعات,
User Caps,صلاحيات المستخدم,
Role Maps,خرائط الأدوار,
Field Maps,خرائط الحقول,
Action Maps,خرائط الإجراءات,
Policies,السياسات,
Requests,الطلبات,
Rate Limits,حدود المعدل,
Audit Log,سجل التدقيق,
Settings,الإعدادات,
CAPS Help,مساعدة CAPS,
Loading help for:,جاري تحميل المساعدة لـ:,
Full Onboarding Guide →,دليل التأهيل الكامل →,
CAPS Impersonation Active,انتحال CAPS مفعّل,
Viewing as,عرض كـ,
Stop,إيقاف,
Impersonation stopped,تم إيقاف الانتحال,
Capability Help,مساعدة الصلاحية,
Capability Bundle Help,مساعدة حزمة الصلاحيات,
Role Capability Map Help,مساعدة خريطة صلاحيات الأدوار,
User Capability Help,مساعدة صلاحية المستخدم,
Permission Group Help,مساعدة مجموعة الأذونات,
Field Capability Map Help,مساعدة خريطة صلاحيات الحقول,
Action Capability Map Help,مساعدة خريطة صلاحيات الإجراءات,
Capability Policy Help,مساعدة سياسة الصلاحيات,
Capability Request Help,مساعدة طلب الصلاحية,
Capability Snapshot Help,مساعدة لقطة الصلاحيات,
CAPS Site Profile Help,مساعدة ملف تعريف الموقع,
CAPS Integration Pack Help,مساعدة حزمة التكامل,
Capability Rate Limit Help,مساعدة حد المعدل,
CAPS Settings Help,مساعدة إعدادات CAPS,
CAPS Audit Log Help,مساعدة سجل التدقيق,
Bundle Item Help,مساعدة عنصر الحزمة,
Capability Prerequisite Help,مساعدة المتطلب المسبق,
Group Member Help,مساعدة عضو المجموعة,
Group Bundle Help,مساعدة حزمة المجموعة,
Group Capability Help,مساعدة صلاحية المجموعة,
Role Capability Bundle Help,مساعدة حزمة صلاحيات الدور,
Role Capability Item Help,مساعدة عنصر صلاحية الدور,
User Capability Bundle Help,مساعدة حزمة صلاحيات المستخدم,
User Capability Item Help,مساعدة عنصر صلاحية المستخدم,
Help,مساعدة,
For more help&#44; visit,لمزيد من المساعدة&#44; قم بزيارة,
CAPS Onboarding,تأهيل CAPS,
or,أو,
About CAPS,عن CAPS,
CAPS Graph Explorer,مستكشف رسم CAPS البياني,
Capability Hierarchy,تسلسل الصلاحيات,
Bundle Composition,تكوين الحزم,
Group Hierarchy,تسلسل المجموعات,
Role → Capability Map,خريطة الدور → الصلاحية,
Loading graph...,جاري تحميل الرسم البياني...,
No data to display for this graph mode,لا توجد بيانات لعرضها في هذا الوضع,
Error loading graph,خطأ في تحميل الرسم البياني,
Active Capability,صلاحية فعّالة,
Inactive,غير فعّال,
Hard Prerequisite,متطلب مسبق صارم,
Soft Prerequisite,متطلب مسبق مرن,
Graph Explorer Help,مساعدة مستكشف الرسم البياني,
Shows capability parent→child relationships grouped by category,يعرض علاقات الأصل→الفرع للصلاحيات مجمّعة بالفئة,
Shows hard/soft prerequisite dependencies between capabilities,يعرض تبعيات المتطلبات المسبقة الصارمة/المرنة بين الصلاحيات,
Shows which capabilities are grouped into bundles,يعرض الصلاحيات المجمّعة في الحزم,
Shows permission group hierarchy and membership,يعرض تسلسل مجموعات الأذونات والعضوية,
Role Map,خريطة الأدوار,
Shows Frappe roles mapped to CAPS capabilities,يعرض أدوار Frappe المربوطة بصلاحيات CAPS,
Click a node for details. Double-click to navigate. Use toolbar to switch layouts.,انقر على عقدة للتفاصيل. انقر مرتين للانتقال. استخدم شريط الأدوات لتغيير التخطيط.,
Compare User Capabilities,مقارنة صلاحيات المستخدمين,
User A,المستخدم أ,
User B,المستخدم ب,
Please select both users,يرجى اختيار كلا المستخدمين,
total for,إجمالي لـ,
common,مشترك,
Comparison failed,فشلت المقارنة,
None,لا يوجد,
Compare Help,مساعدة المقارنة,
Select two users and click Compare to see their capability differences.,اختر مستخدمَين وانقر مقارنة لعرض الاختلافات في صلاحياتهما.,
CAPS Administration,إدارة CAPS,
Refresh,تحديث,
CAPABILITIES,الصلاحيات,
active,فعّال,
USERS,المستخدمون,
with capabilities,لديهم صلاحيات,
BUNDLES,الحزم,
PENDING REQUESTS,طلبات قيد الانتظار,
Action needed,يتطلب إجراء,
Select a user...,اختر مستخدماً...,
Loading...,جاري التحميل...,
No capabilities found,لم يتم العثور على صلاحيات,
Config exported. Check downloads.,تم تصدير التهيئة. تحقق من التنزيلات.,
Config imported,تم استيراد التهيئة,
All CAPS caches cleared,تم مسح جميع ذاكرة CAPS المؤقتة,
CAPS Admin Help,مساعدة إدارة CAPS,
CAPS Administration Dashboard,لوحة إدارة CAPS,
Overview of your Capability-Based Access Control system.,نظرة عامة على نظام التحكم في الوصول القائم على الصلاحيات.,
No active policies,لا توجد سياسات فعّالة,
Could not load policies,تعذّر تحميل السياسات,
No audit entries,لا توجد سجلات تدقيق,
Could not load audit log,تعذّر تحميل سجل التدقيق,
No capabilities expiring soon,لا توجد صلاحيات تنتهي قريباً,
Could not load expiring items,تعذّر تحميل العناصر المنتهية,
What is CAPS?,ما هو CAPS؟,
Capability-Based Access Control,التحكم في الوصول القائم على الصلاحيات,
Atomic Capabilities,صلاحيات ذرية,
Capability Bundles,حزم الصلاحيات,
Field-Level Masking,إخفاء على مستوى الحقل,
Action-Level Gates,بوابات على مستوى الإجراء,
Policy Engine,محرك السياسات,
Time-Boxed Access,وصول محدد زمنياً,
Compliance Snapshots,لقطات الامتثال,
Module Map,خريطة الوحدات,
Entity Relationships,علاقات الكيانات,
For IT Managers,لمديري تقنية المعلومات,
For Information Security Managers,لمديري أمن المعلومات,
For ERPNext System Managers,لمديري نظام ERPNext,
For Auditors,للمدققين,
Why CAPS? — Competitive Comparison,لماذا CAPS؟ — مقارنة تنافسية,
CAPS vs. Alternatives,CAPS مقابل البدائل,
Feature,الميزة,
Built-in Frappe Roles,أدوار Frappe المدمجة,
Atomic capabilities,صلاحيات ذرية,
Full,كامل,
Roles only,أدوار فقط,
Limited,محدود,
Field-level masking,إخفاء على مستوى الحقل,
Per capability,لكل صلاحية,
