source,source
Capability,Capability
Capability Bundle,Capability Bundle
Capability Bundle Item,Capability Bundle Item
Capability Policy,Capability Policy
Capability Prerequisite,Capability Prerequisite
Capability Rate Limit,Capability Rate Limit
Capability Request,Capability Request
Capability Snapshot,Capability Snapshot
CAPS Audit Log,CAPS Audit Log
CAPS Settings,CAPS Settings
CAPS Integration Pack,CAPS Integration Pack
CAPS Site Profile,CAPS Site Profile
Action Capability Map,Action Capability Map
Field Capability Map,Field Capability Map
Permission Group,Permission Group
Permission Group Bundle,Permission Group Bundle
Permission Group Capability,Permission Group Capability
Permission Group Member,Permission Group Member
Role Capability Map,Role Capability Map
Role Capability Item,Role Capability Item
Role Capability Bundle,Role Capability Bundle
User Capability,User Capability
User Capability Bundle,User Capability Bundle
User Capability Item,User Capability Item
Hierarchy,Hierarchy
Details,Details
Prerequisites,Prerequisites
Capabilities,Capabilities
Target,Target
Grant,Grant
Schedule,Schedule
Request Details,Request Details
Resolution,Resolution
Resolved Capabilities,Resolved Capabilities
Metadata,Metadata
Context,Context
General,General
Cache Settings,Cache Settings
Audit Settings,Audit Settings
Resolution Behaviour,Resolution Behaviour
Expiry Notifications,Expiry Notifications
Delegation,Delegation
Advanced Notifications & Groups,Advanced Notifications & Groups
Description,Description
Configuration,Configuration
Capability Configuration,Capability Configuration
Usage Limits,Usage Limits
Scope & Notifications,Scope & Notifications
Advanced,Advanced
Direct Capabilities,Direct Capabilities
Bundles,Bundles
Members,Members
Management,Management
Capability Name,Capability Name
Label,Label
Category,Category
Scope DocType,Scope DocType
Scope Field,Scope Field
Scope Action,Scope Action
Parent Capability,Parent Capability
Is Active,Is Active
Is Delegatable,Is Delegatable
App Name,App Name
Is Template,Is Template
Policy Name,Policy Name
Priority,Priority
Target Type,Target Type
Target Role,Target Role
Target Department,Target Department
Target Users,Target Users
Bundle,Bundle
Grant Type,Grant Type
Starts On,Starts On
Ends On,Ends On
Prerequisite Capability,Prerequisite Capability
Hard Prerequisite,Hard Prerequisite
Is Mandatory,Is Mandatory
Required Capability,Required Capability
Fallback Behavior,Fallback Behavior
Fallback Message,Fallback Message
DocType,DocType
Action ID,Action ID
Action Type,Action Type
Field Name,Field Name
Field Label,Field Label
Behavior When Missing,Behavior When Missing
Mask Pattern,Mask Pattern
Custom Handler,Custom Handler
Group Type,Group Type
Sync Source,Sync Source
Sync Query,Sync Query
Sync Frequency,Sync Frequency
Auto Sync,Auto Sync
Parent Group,Parent Group
Managed By,Managed By
Manager Can Add Members,Manager Can Add Members
Manager Can Assign Bundles,Manager Can Assign Bundles
Requesting User,Requesting User
Status,Status
Reason,Reason
Approver,Approver
Resolution Note,Resolution Note
Resolved On,Resolved On
Grant Expires On,Grant Expires On
User,User
Snapshot Date,Snapshot Date
Created By,Created By
Capabilities (JSON),Capabilities (JSON)
Source,Source
Notes,Notes
Action,Action
Result,Result
Target User,Target User
Target Group,Target Group
Timestamp,Timestamp
IP Address,IP Address
Enable CAPS,Enable CAPS
Debug Mode,Debug Mode
CAPS Version,CAPS Version
User Cache TTL (seconds),User Cache TTL (seconds)
Field/Action Map Cache TTL (seconds),Field/Action Map Cache TTL (seconds)
Audit Log Retention (days),Audit Log Retention (days)
Enable Audit Logging,Enable Audit Logging
Administrator Bypass,Administrator Bypass
Guest Empty Set,Guest Empty Set
Expiry Warning (days),Expiry Warning (days)
Enable Expiry Notifications,Enable Expiry Notifications
Enable Delegation,Enable Delegation
Require Delegation Reason,Require Delegation Reason
Notify on Capability Change,Notify on Capability Change
Email on Request Submission,Email on Request Submission
Enable Admin Digest,Enable Admin Digest
Enable Group Hierarchy,Enable Group Hierarchy
Pack Name,Pack Name
Target App,Target App
Version,Version
Installed,Installed
Pack Configuration JSON,Pack Configuration JSON
Configuration JSON,Configuration JSON
Site Name,Site Name
Site URL,Site URL
Active,Active
Last Sync,Last Sync
Notify on Limit Reached,Notify on Limit Reached
Max Per Hour,Max Per Hour
Max Per Day,Max Per Day
Max Per Week,Max Per Week
Max Per Month,Max Per Month
Scope,Scope
Role,Role
Granted By,Granted By
Granted On,Granted On
Expires On,Expires On
Delegated By,Delegated By
Added By,Added By
Added On,Added On
Valid From,Valid From
Valid Till,Valid Till
Full Name,Full Name
Field,Field
Workflow,Workflow
Report,Report
API,API
Module,Module
Custom,Custom
Pending,Pending
Approved,Approved
Rejected,Rejected
Cancelled,Cancelled
Low,Low
Medium,Medium
High,High
Department,Department
User List,User List
Manual,Manual
Department Sync,Department Sync
Branch Sync,Branch Sync
Custom Query,Custom Query
Realtime,Realtime
Hourly,Hourly
Daily,Daily
Per User,Per User
Global,Global
hide,hide
read_only,read_only
mask,mask
custom,custom
disable,disable
redirect,redirect
button,button
menu_item,menu_item
workflow_action,workflow_action
print_format,print_format
manual,manual
scheduled,scheduled
allowed,allowed
denied,denied
Dashboard,Dashboard
Graph,Graph
Compare,Compare
Groups,Groups
User Caps,User Caps
Role Maps,Role Maps
Field Maps,Field Maps
Action Maps,Action Maps
Policies,Policies
Requests,Requests
Rate Limits,Rate Limits
Audit Log,Audit Log
Settings,Settings
CAPS Help,CAPS Help
Loading help for:,Loading help for:
Full Onboarding Guide →,Full Onboarding Guide →
CAPS Impersonation Active,CAPS Impersonation Active
Viewing as,Viewing as
Stop,Stop
Impersonation stopped,Impersonation stopped
Capability Help,Capability Help
Capability Bundle Help,Capability Bundle Help
Role Capability Map Help,Role Capability Map Help
User Capability Help,User Capability Help
Permission Group Help,Permission Group Help
Field Capability Map Help,Field Capability Map Help
